epoch,train_loss,val_top1,val_top5
0,4.567851592254638,7.7,23.94
1,3.803441759567261,13.35,34.81
2,3.3743460161590577,20.56,45.76
3,3.0911127182769778,21.85,47.9
4,2.8971846561431884,25.81,52.82
5,2.771277359161377,22.16,49.43
6,2.690483955383301,27.21,55.99
7,2.625772071380615,29.08,57.01
8,2.586253186187744,21.2,45.42
9,2.5533639528656007,27.82,55.69
10,2.531028045654297,29.91,58.17
11,2.5120432874298095,30.19,58.65
12,2.493985033721924,25.84,51.53
13,2.476773940811157,30.44,57.85
14,2.4620580727386474,30.61,58.09
15,2.4513641188049315,31.47,59.34
16,2.4486761279296876,32.66,60.75
17,2.437641003036499,26.61,52.36
18,2.4291888634490966,26.84,51.57
19,2.4277737838745117,31.15,57.86
20,2.424882301864624,34.23,61.88
21,2.4134927459716797,28.47,56.99
22,2.411902182159424,31.09,58.45
23,2.4094887981414796,27.66,57.09
24,2.405279741744995,30.75,56.27
25,2.3971521962738036,31.6,59.93
26,2.4005164027404784,29.11,56.97
27,2.391985298843384,36.15,64.77
28,2.3965996002960206,30.39,57.62
29,2.3960003830718994,32.74,61.64
30,2.388004992675781,32.95,61.72
31,2.3873624122619628,31.75,58.97
32,2.3875007243728636,32.15,60.09
33,2.384933052444458,33.16,60.22
34,2.3823496266937254,32.81,60.88
35,2.379282339324951,33.39,62.57
36,2.379379305038452,31.51,58.77
37,2.3786259894561765,31.46,58.92
38,2.381866290359497,28.69,54.9
39,2.3772485363769533,25.91,50.64
40,2.3758852893829348,33.77,61.41
41,2.373304644165039,31.56,59.97
42,2.368678624267578,29.73,57.01
43,2.3784557663726806,25.38,52.25
44,2.3666795398712157,30.16,57.02
45,2.3701651496887206,27.49,56.3
46,2.3710933058929444,29.62,56.84
47,2.370836415557861,31.63,60.09
48,2.3677300050354004,33.7,62.37
49,2.366167423171997,28.98,56.19
50,2.363743381652832,31.43,59.92
51,2.371109549331665,28.13,54.11
52,2.3693224045562746,33.8,60.55
53,2.365865514450073,29.64,55.91
54,2.364680901260376,33.14,61.92
55,2.3683974799346923,33.3,61.07
56,2.3675590678405762,33.39,61.06
57,2.3675798332214355,26.86,53.61
58,2.360297948913574,30.95,59.48
59,2.364917166595459,32.05,59.62
60,2.3670980032730102,32.5,60.52
61,1.632611466217041,55.19,80.56
62,1.4650770986938477,55.73,80.39
63,1.424303971672058,53.11,79.23
64,1.4077984601974487,52.43,78.33
65,1.3903840403747558,53.74,79.59
66,1.3643046073913574,52.12,78.02
67,1.3454993397903443,50.96,77.61
68,1.3226476602172852,51.57,77.14
69,1.2947752629089355,52.84,77.95
70,1.2763041983795167,53.06,78.87
71,1.257291550140381,51.44,76.87
72,1.2351195372390746,53.74,78.02
73,1.211294462738037,49.81,75.43
74,1.2062722764587401,53.65,78.56
75,1.18646916557312,55.69,79.85
76,1.177546428337097,52.47,77.3
