epoch,train_loss,val_top1,val_top5
0,4.5711391217041015,5.81,19.17
1,3.8075503746795656,14.41,36.15
2,3.365126435623169,23.09,49.85
3,3.084557460632324,23.67,50.81
4,2.8919332112121583,28.09,56.14
5,2.7659796549987794,25.18,54.1
6,2.6871929164123536,27.97,57.19
7,2.6290502237701414,32.05,59.31
8,2.5850974226379395,25.47,52.27
9,2.5493587717437745,28.07,54.49
10,2.5318773346710204,30.12,57.54
11,2.515122998390198,26.47,53.26
12,2.4925584368133546,31.13,59.46
13,2.4764511808776857,28.89,54.58
14,2.4614032357788087,32.62,61.48
15,2.461986181869507,31.37,59.25
16,2.4473193547058107,32.58,61.15
17,2.4347646027374266,26.98,54.63
18,2.431538488693237,30.33,57.23
19,2.43163815536499,30.47,57.62
20,2.4261065982818604,32.92,61.0
21,2.4209431591796875,33.19,61.49
22,2.412974730453491,28.02,55.18
23,2.408678302154541,30.01,58.31
24,2.4036012574005126,30.25,57.39
25,2.400118167114258,30.04,58.54
26,2.39888155418396,27.47,55.01
27,2.3917731177520754,28.71,55.85
28,2.394188061294556,32.61,61.16
29,2.395359654922485,27.8,55.48
30,2.391779977874756,30.75,59.26
31,2.382875149383545,28.45,55.05
32,2.386599205627441,31.18,59.25
33,2.384993453140259,32.25,60.5
34,2.381589394454956,31.36,58.45
35,2.379663540802002,24.77,50.97
36,2.375709741592407,36.72,65.03
37,2.378736768951416,32.06,60.28
38,2.3875987062072754,26.78,52.24
39,2.3750649813079834,33.7,62.17
40,2.3771257343292236,34.35,61.82
41,2.37289371673584,31.16,59.44
42,2.3693775452423096,31.22,58.14
43,2.3745634710693357,30.32,58.51
44,2.3703456604766844,27.37,53.56
45,2.370088792800903,33.28,60.74
46,2.365463821411133,28.21,55.74
47,2.368561974372864,26.11,52.19
48,2.3676805310058593,33.87,63.25
49,2.368447120361328,33.23,61.28
50,2.3629711571502687,28.22,54.7
51,2.369196986846924,31.74,59.55
52,2.3696844929504395,33.73,60.98
53,2.3642355495452883,27.64,52.85
54,2.3688269468688965,32.25,60.23
55,2.3621250553894044,30.95,58.9
56,2.3665600120544434,28.58,55.73
57,2.3665198163604737,28.3,54.43
58,2.362732728881836,26.6,54.21
59,2.364150606536865,35.66,64.46
60,2.368560160675049,32.5,60.22
61,1.6308032125854492,54.81,80.93
62,1.4645266413497924,53.39,79.53
63,1.4228656381225586,51.73,77.97
64,1.4020026271057129,53.23,78.61
65,1.388174281692505,54.72,79.49
66,1.3624271273040771,52.88,78.62
67,1.3421082260894774,51.47,77.89
68,1.3165684769439698,50.24,76.68
69,1.296333745918274,53.72,78.51
70,1.2728387314987182,53.3,78.14
71,1.2545525890731812,50.98,76.91
72,1.2359588858413697,52.48,77.91
73,1.2125667355346679,51.78,77.76
74,1.1984137488555908,54.19,79.02
75,1.1853550876617431,53.18,77.95
76,1.1746898434448243,52.97,77.27
77,1.154021028137207,52.86,77.9
78,1.1533118398666382,52.66,77.6
79,1.1423518349838258,50.47,77.16
80,1.1291371714401246,51.78,77.17
81,1.1209279661178588,54.24,78.48
82,1.1138718029022217,52.14,78.15
83,1.1061981340789795,52.39,78.45
84,1.0916223641586305,54.73,80.07
85,1.0901749779129029,54.9,78.81
86,1.0808956587600709,50.63,76.15
87,1.0704334434509277,54.83,78.99
88,1.0703514245224,52.87,77.89
89,1.0717346913909913,52.18,76.54
90,1.0510844688034058,54.07,78.84
91,0.5586278137588501,65.53,86.21
92,0.3887410211753845,65.37,85.8
93,0.3076327541732788,64.69,85.7
94,0.2547075338172913,64.89,85.85
95,0.21747763962745667,64.71,85.49
96,0.185639361038208,64.71,85.55
97,0.15918972270488738,64.78,84.89
98,0.13837379937171937,64.55,85.12
99,0.12648718472003936,64.18,84.92
100,0.11788270580768585,64.38,84.83
101,0.10782243633270264,63.75,84.69
102,0.10498393504142761,64.17,84.67
103,0.10375219445228577,63.3,84.35
104,0.1070117623281479,63.74,84.13
105,0.11213909530162812,62.76,83.47
106,0.11638900855541229,62.68,83.75
107,0.13027084084510804,62.2,83.23
108,0.15050919528961182,61.41,83.13
109,0.16420448587417602,61.0,82.32
110,0.18548005113601684,61.22,82.95
111,0.19218598843574525,60.46,82.54
112,0.20100695775032043,59.83,82.21
113,0.2013911374759674,59.81,81.53
114,0.21099171604156494,60.87,82.37
115,0.20496292605400085,59.82,82.41
116,0.20728905391693114,59.16,82.19
117,0.20857386519432067,59.57,81.77
118,0.19027680395126342,59.62,82.22
119,0.1792987900018692,58.4,80.9
120,0.185011314496994,59.95,81.25
121,0.07267500788211823,65.09,85.18
122,0.040420321996212004,65.43,85.27
123,0.03254200479626656,65.73,85.37
124,0.028388872803449632,65.55,85.37
125,0.025287155116796495,65.85,85.41
126,0.023301406441926957,65.88,85.32
127,0.022523598901033403,65.99,85.52
128,0.02112858078479767,66.12,85.54
129,0.020165294035673142,65.87,85.4
130,0.01993379293203354,66.08,85.51
131,0.019241197035312654,65.86,85.18
132,0.01910851924300194,65.94,85.5
133,0.018691063393354416,65.96,85.34
134,0.01806134944677353,65.93,85.24
135,0.01806699660539627,65.81,85.44
136,0.01782770730018616,66.19,85.35
137,0.01804543360710144,66.05,85.17
138,0.017866391795873644,66.32,85.41
139,0.01768349933862686,66.04,85.35
140,0.017706923676729203,66.02,85.49
141,0.01771584724187851,66.17,85.47
142,0.017878592311143877,66.02,85.39
143,0.017838487582206727,65.94,85.23
144,0.01787566161990166,66.07,85.15
145,0.01813102538585663,65.98,85.28
146,0.01830686511158943,65.99,85.21
147,0.018036210453510285,66.02,85.2
148,0.01821637296080589,65.83,85.13
149,0.018380414932966233,65.89,85.39
,,66.32,
