epoch,train_loss,val_top1,val_top5
0,4.4886026556396486,11.3,31.17
1,3.6767273638916014,12.25,33.84
2,3.2888578040313723,21.32,47.56
3,3.049663196334839,22.64,48.33
4,2.881221017227173,21.05,48.26
5,2.773324506225586,21.05,46.65
6,2.7011000692749025,24.42,52.1
7,2.6428739986419676,29.15,54.76
8,2.6125281185150144,26.04,53.08
9,2.5783948332214357,24.58,51.64
10,2.554531708831787,26.68,54.26
11,2.5331189594268797,30.33,58.07
12,2.517812866668701,27.82,55.57
13,2.5138489070129393,28.86,56.75
14,2.498026119003296,29.71,57.69
15,2.4892035038757325,28.98,55.52
16,2.48947407081604,32.3,60.29
17,2.474048049163818,28.25,55.42
18,2.469740426635742,31.1,60.35
19,2.4640473815917967,26.3,53.25
20,2.4697450679016115,32.01,59.63
21,2.4600109351348878,29.62,56.57
22,2.4588008645629884,29.11,57.04
23,2.4464049851989746,21.96,47.23
24,2.443893045501709,28.95,56.3
25,2.442103296508789,30.22,58.57
26,2.444749986190796,35.87,63.48
27,2.4365044418334962,32.86,60.06
28,2.437112400970459,32.64,60.35
29,2.436066954498291,21.36,46.47
30,2.4320318012237547,24.18,52.61
31,2.430983993988037,30.37,58.52
32,2.43870817817688,33.0,60.92
33,2.4317085820007325,33.16,60.62
34,2.4268918576049803,31.06,59.91
35,2.4222585245513915,33.66,62.82
36,2.4229811087036133,27.94,56.38
37,2.417887942276001,30.48,57.96
38,2.4282903637695314,26.81,53.98
39,2.4220160181427004,33.11,61.62
40,2.41444241645813,30.06,57.05
41,2.4253243397521973,29.29,57.38
42,2.416157540283203,32.42,61.18
43,2.4205290912628175,30.3,58.26
44,2.4178958337402343,32.55,59.77
45,2.4162667404174805,30.59,58.35
46,2.418243950958252,32.01,60.39
47,2.4131224295806883,29.44,56.06
48,2.40985244102478,26.84,53.42
49,2.4140868370819093,31.05,59.26
50,2.4139055365753173,31.45,59.31
51,2.412551293411255,35.73,62.66
52,2.415437335662842,33.02,61.83
53,2.41638763961792,30.66,59.25
54,2.415543617935181,33.92,62.28
55,2.4186976724243165,36.41,65.13
56,2.4109127796936036,30.82,59.35
57,2.4094961829376222,27.95,55.06
58,2.411431141052246,31.48,59.88
59,2.4074627769470216,32.69,60.08
60,2.402320042724609,29.13,55.27
61,1.6946585920715331,55.1,79.7
62,1.5323676264572144,54.48,79.45
63,1.496805908126831,52.4,78.1
64,1.4846911221313477,49.57,76.15
65,1.4687253229522705,51.5,77.28
66,1.4475926085281372,51.21,76.43
67,1.4322576400375366,48.37,75.39
68,1.4091072539520264,51.46,77.4
69,1.3873920359039307,53.7,78.1
70,1.3702603491210938,53.39,78.65
71,1.3439179512405395,53.18,77.89
72,1.3343830438232422,51.75,77.24
73,1.3148678554534912,51.72,78.01
74,1.3030613204193116,53.35,78.82
75,1.2844831113815307,52.5,78.31
76,1.2711861757278442,53.33,78.85
77,1.2570872126770019,50.74,77.08
78,1.2565849257278443,51.11,76.68
79,1.2406667154312134,53.06,77.96
80,1.2342843255233764,52.36,77.46
81,1.228778052368164,50.85,76.38
82,1.2154198197174073,51.52,76.89
83,1.2123602155303954,50.58,75.56
84,1.202767944507599,50.46,76.63
85,1.1983477445793151,53.06,78.54
86,1.1891729346084594,52.88,77.99
87,1.1848846646118163,49.85,75.66
88,1.1791646997070313,51.63,77.33
89,1.172593107032776,52.92,78.07
90,1.1629990049552918,51.37,77.45
91,0.6749726013374329,64.47,85.65
92,0.5110888802909851,64.58,85.54
93,0.43211103637695314,64.53,85.26
94,0.3739672210216522,64.46,84.99
95,0.33059118728637693,64.03,85.1
96,0.2944580466365814,63.68,84.62
97,0.26574536562919615,63.17,84.16
98,0.2437932588005066,63.14,84.22
99,0.22294983129501342,63.26,84.35
100,0.21208789724349975,62.07,83.7
101,0.20074764331817627,62.59,83.59
102,0.1954870673274994,61.82,83.61
103,0.1952261710357666,61.55,83.17
104,0.19667523926734926,61.24,83.07
105,0.19969097505569458,60.75,82.36
106,0.20640820168495178,60.49,82.68
107,0.21475918640136718,59.93,82.33
108,0.2179330188369751,59.28,81.9
109,0.22759716767311097,59.17,81.42
110,0.23875176303863527,60.21,81.84
111,0.2383149007320404,59.82,81.85
112,0.23752962384223938,59.39,82.34
113,0.24169932572364808,58.73,81.16
114,0.2400296042251587,59.62,81.86
115,0.23455427261352538,58.77,81.4
116,0.24622492524147033,58.45,80.86
117,0.24460992146492005,59.11,81.45
118,0.2460073324584961,58.32,80.92
119,0.24514171827316283,58.09,80.9
