epoch,train_loss,val_top1,val_top5
64,1.4895046594238281,48.16,75.19
65,1.4793970053100587,52.23,77.36
66,1.455160873184204,52.94,78.27
67,1.4385985752868653,47.17,74.28
68,1.4178234313583373,51.1,76.88
69,1.3922862568664551,51.77,77.57
70,1.3787341279220582,49.99,76.17
71,1.3535383596801758,52.46,77.65
72,1.343829514503479,51.86,77.31
73,1.3267173613739014,49.67,75.56
74,1.3112645296478271,52.17,77.49
75,1.2943838489151,50.6,76.9
76,1.2806700890731813,51.61,76.82
77,1.2663007279968261,51.59,77.61
78,1.2670760619735717,51.94,77.32
79,1.2568040506744385,52.44,77.82
80,1.2440498232650756,50.36,75.62
81,1.2345844221496582,50.52,76.07
82,1.2293039169311524,52.03,77.53
83,1.2257127085113526,53.18,77.49
84,1.2152988095474244,53.15,78.56
85,1.2033910752487182,52.15,78.0
86,1.1938171418762207,51.14,76.36
87,1.1925498998641968,51.45,77.19
88,1.1888913871383666,53.78,77.88
89,1.1920887382888794,45.71,72.48
90,1.1794003904342651,52.22,77.37
91,0.6919682719039917,64.23,85.1
92,0.5250976298713684,63.7,84.85
93,0.4436207452392578,63.66,84.82
94,0.3873799305438995,64.09,84.63
95,0.3424372966003418,63.53,84.57
96,0.30955056851387025,62.84,84.28
97,0.27989896430015565,63.05,84.04
98,0.25620045066833497,62.21,83.31
99,0.23937806427001954,62.69,83.74
100,0.2275867859363556,62.66,83.64
101,0.21524618726730346,61.9,83.11
102,0.20814282809257506,61.47,82.86
103,0.21057444365501404,60.7,82.77
104,0.20316025931358336,61.0,82.67
105,0.21337735783576967,60.73,82.26
106,0.2170009687614441,59.35,81.69
107,0.22276559507369995,59.85,82.14
108,0.23220630098342895,60.22,81.8
109,0.23906898021697998,59.02,81.25
110,0.24568892896652222,58.77,81.22
111,0.2444024608707428,58.55,81.21
112,0.2458728960132599,58.48,81.06
113,0.25312223141670226,58.8,81.23
114,0.2510005433559418,58.5,81.17
115,0.24859969257354736,57.56,80.36
116,0.25415911474227904,58.29,81.29
117,0.25543221886634826,58.4,81.21
118,0.2489326263999939,58.65,80.65
119,0.24491685954093934,58.29,80.73
120,0.23482084936141967,58.31,80.74
121,0.10206535395622253,63.16,84.15
122,0.06457073624610901,63.65,84.23
123,0.05265657170057297,63.64,83.97
124,0.04684418815374374,63.84,84.32
125,0.042302074754238125,63.68,84.2
126,0.04053556203603745,64.05,84.35
127,0.037836530120372774,63.75,84.28
128,0.03636708667516708,64.03,84.39
129,0.03490795687198639,64.05,84.35
130,0.033924108905792234,64.09,84.34
131,0.03328584351778031,64.0,84.4
132,0.032562474992275235,63.98,84.44
133,0.03217466583251953,64.4,84.4
134,0.03178300256729126,64.26,84.31
135,0.031600950553417204,64.02,84.35
