epoch,train_loss,val_top1,val_top5
0,4.585811278686523,7.59,24.72
1,3.8184742347717284,16.39,39.98
2,3.369760881500244,17.74,41.07
3,3.088178849029541,25.95,54.07
4,2.8920509493255615,27.08,55.96
5,2.770427505645752,25.23,53.78
6,2.6848754763031004,25.8,55.05
7,2.625094974441528,29.74,58.91
8,2.580771245727539,26.67,52.59
9,2.548940493850708,29.03,55.56
10,2.5210756501770017,30.62,59.21
11,2.509235674285889,27.12,55.08
12,2.4843860794830324,30.27,57.05
13,2.4715235300445557,29.16,56.55
14,2.4543651258850097,32.97,61.32
15,2.4471915335083008,34.71,63.68
16,2.4369695389556885,30.6,58.66
17,2.429079563217163,25.17,50.86
18,2.4261597943115234,33.17,62.12
19,2.42608882522583,32.9,61.38
20,2.4166777685546874,31.62,60.05
21,2.411362724151611,33.76,61.88
22,2.4074983045196534,31.98,60.73
23,2.4015168775177003,31.1,58.45
24,2.397488410491943,29.98,57.74
25,2.3972275088500976,31.59,59.27
26,2.4001580226135255,32.56,60.14
27,2.3908957668304445,35.67,64.56
28,2.387987256240845,30.54,58.11
29,2.392190161972046,33.28,62.67
30,2.3831707289886475,31.02,57.42
31,2.378599522781372,31.03,58.36
32,2.3834994158935547,29.88,58.4
33,2.3846344241333006,27.23,54.04
34,2.381698688278198,32.66,61.18
35,2.3807398879241943,33.09,61.38
36,2.3716292362976072,32.88,60.5
37,2.3825935160827636,35.07,63.73
38,2.383236009521484,31.25,59.47
39,2.3683588290405275,33.77,60.98
40,2.3739940451812744,33.5,60.04
41,2.3712448263549804,34.66,63.82
42,2.369655026550293,29.44,56.2
43,2.370878817367554,23.67,50.47
44,2.370330341796875,26.49,52.82
45,2.3663828246307372,33.88,61.4
46,2.372379529647827,33.06,62.21
47,2.3683835509490967,33.0,61.71
48,2.3676713172912596,31.93,60.53
49,2.367027298812866,35.63,64.17
50,2.368254022140503,33.84,62.91
51,2.362194109725952,31.22,58.33
52,2.363865514907837,27.88,54.35
53,2.360607659225464,27.6,53.24
54,2.363402410354614,30.42,56.5
55,2.359938164215088,27.63,55.31
56,2.368170758895874,30.41,57.85
57,2.3613567924499512,29.41,57.99
58,2.361331912994385,33.95,62.93
59,2.3656876737976074,33.94,61.32
60,2.360992674255371,31.29,60.52
61,1.6294736516571044,55.02,81.03
62,1.4631464973068238,54.43,79.91
63,1.4240063159561158,51.43,76.96
64,1.4052020676040649,52.3,78.3
65,1.38934550907135,52.31,78.3
66,1.36128186958313,52.64,77.74
67,1.340623416481018,50.88,76.82
68,1.3176292680358888,52.58,78.13
69,1.2957461807632447,54.11,78.97
70,1.2735253102874755,53.39,78.71
71,1.253935788269043,53.79,79.51
72,1.2292759147262573,52.34,78.08
73,1.2120590743255615,51.99,77.39
74,1.204234327545166,53.33,78.01
75,1.1830861128234864,53.24,78.91
76,1.1694791651153564,53.84,78.46
77,1.1610658221817016,53.61,79.13
78,1.1529624842071533,52.57,77.37
79,1.1452156336212158,53.6,78.94
80,1.126643946723938,54.89,79.25
81,1.119385588760376,52.39,77.82
82,1.1146188120651246,53.09,78.24
83,1.098956718044281,52.46,77.85
84,1.0963531817626953,53.31,78.54
85,1.086044605445862,53.99,79.19
86,1.085184818458557,53.2,78.18
87,1.0771330174636842,53.35,78.14
88,1.073303703289032,51.77,76.77
89,1.0641189414215089,53.26,77.6
90,1.0602187246704102,51.72,77.08
91,0.5593816921710968,66.09,86.31
92,0.3907464367103577,65.77,86.48
93,0.30995882571220396,65.59,86.29
94,0.25772684381484984,65.85,85.83
95,0.21658618255615233,65.47,85.53
96,0.187781710729599,65.73,85.56
97,0.15922553916454316,65.55,85.55
98,0.14020092872142792,65.13,85.43
99,0.12756688098430632,64.76,84.74
100,0.11983936529636383,64.19,84.79
101,0.10831268397331238,64.58,84.89
102,0.10360507053852082,65.13,84.94
103,0.10293022902965546,63.91,84.35
104,0.10610692096233368,63.8,84.34
105,0.11324713992118836,63.81,84.23
106,0.12236105215549468,62.54,83.66
107,0.13151353382587433,62.08,83.32
108,0.14998785229206085,61.42,82.97
109,0.1675851657295227,61.43,82.95
110,0.1763542432785034,61.61,82.84
111,0.1946924203491211,61.22,82.68
112,0.19917823389053343,59.65,81.99
113,0.20968426261901854,60.18,81.75
114,0.2022477328300476,59.81,82.29
115,0.20826387016296385,61.38,82.49
116,0.20645358207702635,59.86,82.12
117,0.19893634708404542,60.49,82.18
118,0.19732419711112975,60.16,81.96
119,0.19851076850891114,60.71,81.75
120,0.19264059025764466,59.99,81.85
121,0.07419468252897263,66.33,85.15
122,0.04100006608486176,66.46,85.47
123,0.0322092953813076,66.67,85.48
124,0.02839592548966408,66.55,85.4
125,0.025715247930288315,66.58,85.53
126,0.023413202105760575,66.63,85.48
127,0.022205828815698624,66.8,85.66
128,0.021130971808433534,66.97,85.63
