epoch,train_loss,val_top1,val_top5
0,4.489058080978394,11.27,31.07
1,3.676219447174072,16.57,40.58
2,3.290672007904053,19.15,42.85
3,3.0449538388061526,24.4,51.04
4,2.8747305031585695,24.1,50.15
5,2.768797713623047,24.39,51.83
6,2.7010453558349607,27.8,55.94
7,2.6412737078094484,24.4,48.51
8,2.6111524551391603,25.69,51.76
9,2.5839827896118166,23.85,50.71
10,2.5547365824890136,29.52,57.9
11,2.5386992849731445,21.0,45.29
12,2.528256748352051,34.73,62.6
13,2.516181884765625,21.91,48.3
14,2.501548670654297,32.36,60.69
15,2.4944561936187744,24.0,49.11
16,2.487700198440552,31.66,59.49
17,2.479971118850708,25.3,53.94
18,2.4751839838409424,26.19,50.66
19,2.4652059656524656,26.67,54.08
20,2.4735542864990236,31.65,58.84
21,2.469156181488037,27.47,55.45
22,2.4665639948272706,27.5,54.28
23,2.4553622665405275,23.8,50.96
24,2.4495915908050536,29.88,57.79
25,2.44603911277771,32.12,61.57
26,2.4499463919067384,25.26,52.56
27,2.443824244308472,33.27,60.31
28,2.437952909240723,30.72,58.17
29,2.446429013366699,30.88,59.33
30,2.4341665351104735,31.13,59.77
31,2.435831494369507,33.18,61.27
32,2.441750595703125,30.28,57.34
33,2.439792820892334,33.7,60.86
34,2.433372176361084,30.74,58.25
35,2.428846159286499,33.29,61.15
36,2.4270522273254396,28.51,54.88
37,2.423751624069214,31.92,59.29
38,2.4295744142150877,23.27,47.15
39,2.4334492529296874,31.18,60.16
40,2.424981069946289,30.31,57.73
41,2.427508373413086,28.12,55.06
42,2.416254289855957,32.52,61.01
43,2.4294050731658934,26.29,54.24
44,2.417074913635254,31.34,59.11
45,2.4207797393798827,28.73,55.64
46,2.4234808729553223,30.0,56.67
47,2.424410177307129,23.26,48.66
48,2.418057742538452,27.45,54.64
49,2.41655375831604,29.7,57.08
50,2.4228247957611084,31.79,60.31
51,2.420347818145752,29.13,56.09
52,2.4187530072021484,33.33,61.75
53,2.41843645652771,29.03,57.0
54,2.422759998855591,32.65,61.49
55,2.4237220572662355,32.19,60.77
56,2.4144643743133547,30.16,58.62
57,2.4204802799987792,34.33,62.53
58,2.414533865356445,31.4,59.82
59,2.4163201594543455,26.73,53.06
60,2.4158482708740237,31.3,59.46
61,1.7063866803741454,55.04,79.42
62,1.5430886988067627,54.16,79.43
63,1.5091482044982911,51.96,77.82
64,1.4939029720306396,50.48,76.65
65,1.4807425396728515,50.1,76.06
66,1.4634812601470948,51.8,77.95
67,1.445971668281555,47.93,73.46
68,1.4226688926315307,51.39,77.15
69,1.3962741090774535,51.14,76.97
70,1.3781159045028686,53.0,78.3
71,1.3599932012939453,52.65,77.76
72,1.348626188621521,51.17,77.65
73,1.3258699810791015,50.81,76.81
74,1.313462857170105,52.13,77.63
75,1.2987484940719605,52.53,78.21
76,1.2862762911987304,52.82,77.93
77,1.271367687110901,50.74,77.09
78,1.2676040782928466,51.88,77.52
79,1.2566416010284425,52.33,78.11
80,1.2432385970687867,49.85,76.0
81,1.2386451652526855,49.91,75.92
82,1.225869559326172,52.97,78.47
83,1.2264199669265747,52.36,77.89
84,1.2117634258651733,52.86,78.11
85,1.2128318746185303,52.8,78.25
86,1.2023591426849365,49.25,75.76
87,1.1967853602218628,51.27,77.07
88,1.19349892036438,51.93,76.78
89,1.1889834300231934,50.9,76.68
90,1.1869501763153076,52.65,77.99
91,0.6940306091880798,64.35,85.69
92,0.5294850977325439,64.25,84.99
93,0.45201020902633665,64.18,85.16
94,0.39611040203094483,63.82,85.18
95,0.34849318449020383,63.4,85.13
96,0.31214226610183715,63.27,84.44
97,0.28703020416259767,62.24,83.91
98,0.2645308380699158,62.52,83.67
99,0.24215355260849,62.4,84.13
100,0.23202157835960388,62.19,83.96
101,0.2192369110584259,62.22,83.76
102,0.2142131265258789,61.1,83.2
103,0.21188039935112,60.55,82.42
104,0.21021748003005983,61.01,82.63
105,0.21477554634094237,60.06,82.34
106,0.22114316477775572,60.05,82.73
107,0.23191595170021057,59.84,82.17
108,0.23157496282577514,59.24,81.58
109,0.24025816075325013,58.61,81.53
110,0.2507943562412262,59.18,80.99
111,0.24712001245498658,58.2,81.16
112,0.2532807056236267,58.81,81.51
113,0.2514751014614105,58.45,81.17
114,0.25297289493560793,58.84,80.85
115,0.2545550492763519,57.92,80.46
116,0.2531944203567505,58.91,81.36
117,0.2510241556549072,58.87,81.38
118,0.2519557472229004,57.32,80.38
119,0.24905410830020905,58.56,81.5
120,0.23505074453353883,58.03,80.16
121,0.10346475214004516,63.04,84.14
122,0.06510159579992295,63.41,84.21
123,0.053897898905277256,63.48,84.23
124,0.04783743811130524,63.81,84.49
125,0.04360096766233444,63.74,84.44
126,0.040635613377094267,63.92,84.58
127,0.03862537048578262,63.7,84.29
128,0.03659483432769775,63.94,84.28
129,0.03488539115428924,63.88,84.53
130,0.03457215292692185,63.79,84.64
131,0.03356094652533531,63.78,84.47
132,0.0324500360250473,63.94,84.41
133,0.0328884264087677,63.82,84.56
134,0.031838241477012634,63.94,84.51
135,0.031903631148338316,63.9,84.25
136,0.03165853199481964,63.69,84.33
137,0.031344880948066714,63.81,84.4
138,0.030868403623104095,63.94,84.42
139,0.03064893972158432,63.89,84.56
140,0.03034221049308777,63.81,84.39
141,0.03038336667895317,63.68,84.35
142,0.030421598813533783,63.8,84.16
143,0.030320399107933046,63.8,84.13
144,0.030755573204755783,63.76,84.35
145,0.030638686504364014,63.94,84.09
